mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
deployed,26,M2+M4+E1,0,1,0,1,1,0,0.80923270461732,0.8791208791208791,0.905982905982906,0.7375,0.8483796296296295,0.7693968531468531,0.8604166666666666,0.8428571428571429
deployed,27,M1+M2+M4+E1,1,1,0,1,1,0,0.8181332245954263,0.8901098901098901,0.9137931034482759,0.7407407407407407,0.8486053955189758,0.7704801371468039,0.8621399176954732,0.8427395649617871
deployed,28,M3+M4+E1,0,0,1,1,1,0,0.8056251723028911,0.8681318681318682,0.896551724137931,0.7848101265822784,0.8494139709329582,0.7706972352541973,0.871308016877637,0.8429776974080773
deployed,29,M1+M3+M4+E1,1,0,1,1,1,0,0.8145186445228252,0.8791208791208791,0.9043478260869565,0.7875,0.8496296296296297,0.7717778055278055,0.8729166666666666,0.8428571428571429
deployed,30,M2+M3+M4+E1,0,1,1,1,1,0,0.8050070404347593,0.8681318681318682,0.896551724137931,0.7784810126582279,0.8494139709329582,0.7706972352541973,0.871308016877637,0.8429776974080773
deployed,31,M1+M2+M3+M4+E1,1,1,1,1,1,0,0.8139005126546932,0.8791208791208791,0.9043478260869565,0.78125,0.8496296296296297,0.7717778055278055,0.8729166666666666,0.8428571428571429
deployed,32,E3,0,0,0,0,0,1,0.8359767244863399,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.8501115573404731,0.7666529588216334,0.8684738955823292,0.8433734939759037
deployed,33,M1+E3,1,0,0,0,0,1,0.8359767244863399,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.8501115573404731,0.7666529588216334,0.8684738955823292,0.8433734939759037
deployed,34,M2+E3,0,1,0,0,0,1,0.8359767244863399,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.8501115573404731,0.7666529588216334,0.8684738955823292,0.8433734939759037
deployed,35,M1+M2+E3,1,1,0,0,0,1,0.8359767244863399,0.9120879120879121,0.9333333333333333,0.7289156626506024,0.8501115573404731,0.7666529588216334,0.8684738955823292,0.8433734939759037
deployed,36,M3+E3,0,0,1,0,0,1,0.8468901860248015,0.9230769230769231,0.9401709401709402,0.7559523809523809,0.849647266313933,0.7691002119573549,0.8700396825396824,0.8432539682539681
deployed,37,M1+M3+E3,1,0,1,0,0,1,0.8468901860248015,0.9230769230769231,0.9401709401709402,0.7559523809523809,0.849647266313933,0.7691002119573549,0.8700396825396824,0.8432539682539681
deployed,38,M2+M3+E3,0,1,1,0,0,1,0.8468901860248015,0.9230769230769231,0.9401709401709402,0.7559523809523809,0.849647266313933,0.7691002119573549,0.8700396825396824,0.8432539682539681
deployed,39,M1+M2+M3+E3,1,1,1,0,0,1,0.8468901860248015,0.9230769230769231,0.9401709401709402,0.7559523809523809,0.849647266313933,0.7691002119573549,0.8700396825396824,0.8432539682539681
deployed,40,M4+E3,0,0,0,1,0,1,0.8275843978587192,0.9010989010989011,0.9243697478991597,0.7317073170731707,0.8511291779584463,0.7698432326481107,0.866869918699187,0.8432055749128919
